Afghanistan,159516,7390
Africa,10522979,235050
Albania,244182,3292
Algeria,232325,6468
Andorra,33025,144
Angola,95676,1884
Anguilla,2187,7
Antigua and Barbuda,5815,122
Argentina,7694506,118969
Armenia,349957,8026
Aruba,32056,187
Asia,93580026,1282052
Australia,2129688,3043
Austria,1530919,13956
Azerbaijan,630420,8581
Bahamas,31915,726
Bahrain,324304,1398
Bangladesh,1664616,28192
Barbados,38171,274
Belarus,722939,5899
Belgium,2697239,28780
Belize,45753,616
Benin,26309,163
Bermuda,9766,112
Bhutan,3458,3
Bolivia,804677,20570
Bonaire Sint Eustatius and Saba,6180,27
Bosnia and Herzegovina,329569,13984
Botswana,243946,2544
Brazil,23766499,622875
British Virgin Islands,5602,47
Brunei,16066,98
Bulgaria,870751,32604
Burkina Faso,20435,353
Burundi,36868,38
Cambodia,120956,3015
Cameroon,114113,1867
Canada,2877590,32217
Cape Verde,55178,383
Cayman Islands,12023,15
Central African Republic,13509,109
Chad,6889,185
Chile,1934204,39474
China,105547,4636
Colombia,5686065,131824
Comoros,7793,159
Congo,23380,371
Cook Islands,2,
Costa Rica,643496,7451
Cote d'Ivoire,79814,771
Croatia,859264,13335
Cuba,1015203,8353
Curacao,35617,211
Cyprus,235364,700
Czechia,2705754,36997
Democratic Republic of Congo,84283,1278
Denmark,1319695,3571
Djibouti,15250,189
Dominica,8421,49
Dominican Republic,530998,4279
Ecuador,658045,34279
Egypt,406926,22289
El Salvador,127012,3847
Equatorial Guinea,15558,179
Eritrea,9192,90
Estonia,282977,1999
Eswatini,68047,1366
Ethiopia,461252,7226
Europe,112754454,1592188
European Union,75706150,939670
Faeroe Islands,13207,15
Falkland Islands,86,
Fiji,60931,768
Finland,371135,1724
France,16052999,128413
French Polynesia,47470,636
Gabon,45909,300
Gambia,11572,347
Georgia,1030710,14631
Germany,8635461,116668
Ghana,154891,1357
Gibraltar,11557,100
Greece,1762870,22476
Greenland,9407,4
Grenada,10960,205
Guatemala,666017,16245
Guinea,35719,410
Guinea-Bissau,7284,153
Guyana,55628,1122
Haiti,28250,780
High income,177596317,2022665
Honduras,387515,10468
Hong Kong,12918,213
Hungary,1401457,40822
Iceland,54579,44
India,38903731,488884
Indonesia,4280248,144201
International,721,15
Iran,6241843,132172
Iraq,2144422,24277
Ireland,1134548,6087
Isle of Man,20425,70
Israel,2168009,8371
Italy,9603856,142963
Jamaica,117717,2568
Japan,2071471,18476
Jordan,1129995,13049
Kazakhstan,1217538,18357
Kenya,319838,5528
Kiribati,2,
Kosovo,175283,2997
Kuwait,488959,2483
Kyrgyzstan,193816,2843
Laos,128924,518
Latvia,324999,4773
Lebanon,853252,9460
Lesotho,31899,690
Liberia,7208,288
Libya,403144,5907
Liechtenstein,7746,73
Lithuania,595685,7727
Low income,1740658,39795
Lower middle income,71503097,1216866
Luxembourg,137570,943
Macao,79,
Madagascar,55827,1169
Malawi,83565,2507
Malaysia,2824973,31869
Maldives,112628,269
Mali,29430,704
Malta,65311,521
Marshall Islands,7,
Mauritania,56946,920
Mauritius,24903,240
Mexico,4595589,302721
Micronesia (country),1,
Moldova,404556,10501
Monaco,7304,45
Mongolia,423495,2093
Montenegro,210931,2505
Montserrat,152,1
Morocco,1086340,15082
Mozambique,221975,2149
Myanmar,533815,19308
Namibia,155027,3902
Nepal,896584,11635
Netherlands,3787274,21277
New Caledonia,15195,282
New Zealand,15479,52
Nicaragua,17604,219
Niger,8503,295
Nigeria,251930,3124
North America,82239715,1267626
North Macedonia,252947,8177
Norway,596613,1414
Oceania,2305985,5385
Oman,318272,4125
Pakistan,1360019,29077
Palau,208,
Palestine,480583,5042
Panama,626890,7574
Papua New Guinea,36446,596
Paraguay,516555,16887
Peru,2839519,203994
Philippines,3357083,53309
Poland,4443217,103626
Portugal,2118125,19496
Qatar,317277,632
Romania,1983670,59477
Russia,10804032,318200
Rwanda,127655,1428
Saint Helena,4,
Saint Kitts and Nevis,5190,28
Saint Lucia,18746,316
Saint Pierre and Miquelon,630,
Saint Vincent and the Grenadines,6615,90
Samoa,13,
San Marino,11466,107
Sao Tome and Principe,5798,68
Saudi Arabia,643211,8916
Senegal,83855,1921
Serbia,1518024,13211
Seychelles,34367,143
Sierra Leone,7572,125
Singapore,307813,846
Slovakia,1447067,17577
Slovenia,579480,5743
Solomon Islands,81,
Somalia,24322,1335
South Africa,3576379,93949
South America,45059559,1202908
South Korea,726274,6529
South Sudan,16653,137
Spain,8975458,91741
Sri Lanka,600203,15272
Sudan,53959,3393
Summer Olympics 2020,865,
Suriname,69275,1231
Sweden,1784005,15674
Switzerland,1879319,12579
Syria,50902,2962
Taiwan,18109,851
Tajikistan,17493,125
Tanzania,32393,753
Thailand,2369814,22019
Timor,19866,122
Togo,36176,266
Tonga,1,
Trinidad and Tobago,105264,3278
Tunisia,826838,25912
Turkey,10808770,85600
Turks and Caicos Islands,5524,33
Uganda,159807,3463
Ukraine,4003280,105545
United Arab Emirates,819866,2207
United Kingdom,15747291,153616
United States,70209840,864556
Upper middle income,95612922,2305841
Uruguay,569037,6284
Uzbekistan,210899,1532
Vanuatu,7,1
Vatican,29,
Venezuela,465463,5399
Vietnam,2110737,36443
Wallis and Futuna,454,7
World,346464304,5585224
Yemen,10585,1995
Zambia,300587,3885
Zimbabwe,227961,5288
