date,location,new_cases,total_cases,total_deaths
2022/1/21,Afghanistan,213,159516,7390
2022/1/21,Africa,37382,10522979,235050
2022/1/21,Albania,2670,244182,3292
2022/1/21,Algeria,1855,232325,6468
2022/1/21,Andorra,824,33025,144
2022/1/21,Angola,456,95676,1884
2022/1/21,Anguilla,0,2187,7
2022/1/21,Antigua and Barbuda,74,5815,122
2022/1/21,Argentina,118171,7694506,118969
2022/1/21,Armenia,628,349957,8026
2022/1/21,Aruba,221,32056,187
2022/1/21,Asia,714156,93580026,1282052
2022/1/21,Australia,43166,2129688,3043
2022/1/21,Austria,25418,1530919,13956
2022/1/21,Azerbaijan,1068,630420,8581
2022/1/21,Bahamas,222,31915,726
2022/1/21,Bahrain,3616,324304,1398
2022/1/21,Bangladesh,11434,1664616,28192
2022/1/21,Barbados,549,38171,274
2022/1/21,Belarus,1836,722939,5899
2022/1/21,Belgium,54478,2697239,28780
2022/1/21,Belize,794,45753,616
2022/1/21,Benin,,26309,163
2022/1/21,Bermuda,,9766,112
2022/1/21,Bhutan,141,3458,3
2022/1/21,Bolivia,9590,804677,20570
2022/1/21,Bonaire Sint Eustatius and Saba,234,6180,27
2022/1/21,Bosnia and Herzegovina,2574,329569,13984
2022/1/21,Botswana,,243946,2544
2022/1/21,Brazil,171321,23766499,622875
2022/1/21,British Virgin Islands,,5602,47
2022/1/21,Brunei,80,16066,98
2022/1/21,Bulgaria,9874,870751,32604
2022/1/21,Burkina Faso,0,20435,353
2022/1/21,Burundi,0,36868,38
2022/1/21,Cambodia,42,120956,3015
2022/1/21,Cameroon,4447,114113,1867
2022/1/21,Canada,15822,2877590,32217
2022/1/21,Cape Verde,287,55178,383
2022/1/21,Cayman Islands,,12023,15
2022/1/21,Central African Republic,,13509,109
2022/1/21,Chad,0,6889,185
2022/1/21,Chile,17682,1934204,39474
2022/1/21,China,63,105547,4636
2022/1/21,Colombia,31039,5686065,131824
2022/1/21,Comoros,9,7793,159
2022/1/21,Congo,136,23380,371
2022/1/21,Cook Islands,0,2,
2022/1/21,Costa Rica,6169,643496,7451
2022/1/21,Cote d'Ivoire,256,79814,771
2022/1/21,Croatia,11114,859264,13335
2022/1/21,Cuba,3392,1015203,8353
2022/1/21,Curacao,310,35617,211
2022/1/21,Cyprus,,235364,700
2022/1/21,Czechia,26987,2705754,36997
2022/1/21,Democratic Republic of Congo,85,84283,1278
2022/1/21,Denmark,46831,1319695,3571
2022/1/21,Djibouti,50,15250,189
2022/1/21,Dominica,72,8421,49
2022/1/21,Dominican Republic,6363,530998,4279
2022/1/21,Ecuador,28538,658045,34279
2022/1/21,Egypt,1533,406926,22289
2022/1/21,El Salvador,3435,127012,3847
2022/1/21,Equatorial Guinea,0,15558,179
2022/1/21,Eritrea,32,9192,90
2022/1/21,Estonia,4479,282977,1999
2022/1/21,Eswatini,44,68047,1366
2022/1/21,Ethiopia,650,461252,7226
2022/1/21,Europe,1598208,112754454,1592188
2022/1/21,European Union,1331611,75706150,939670
2022/1/21,Faeroe Islands,1259,13207,15
2022/1/21,Falkland Islands,1,86,
2022/1/21,Fiji,422,60931,768
2022/1/21,Finland,0,371135,1724
2022/1/21,France,400851,16052999,128413
2022/1/21,French Polynesia,195,47470,636
2022/1/21,Gabon,246,45909,300
2022/1/21,Gambia,,11572,347
2022/1/21,Georgia,8767,1030710,14631
2022/1/21,Germany,133329,8635461,116668
2022/1/21,Ghana,,154891,1357
2022/1/21,Gibraltar,165,11557,100
2022/1/21,Greece,20507,1762870,22476
2022/1/21,Greenland,151,9407,4
2022/1/21,Grenada,,10960,205
2022/1/21,Guatemala,3189,666017,16245
2022/1/21,Guinea,,35719,410
2022/1/21,Guinea-Bissau,62,7284,153
2022/1/21,Guyana,892,55628,1122
2022/1/21,Haiti,133,28250,780
2022/1/21,High income,2589037,177596317,2022665
2022/1/21,Honduras,,387515,10468
2022/1/21,Hong Kong,11,12918,213
2022/1/21,Hungary,15957,1401457,40822
2022/1/21,Iceland,1458,54579,44
2022/1/21,India,337704,38903731,488884
2022/1/21,Indonesia,2604,4280248,144201
2022/1/21,International,0,721,15
2022/1/21,Iran,5276,6241843,132172
2022/1/21,Iraq,7155,2144422,24277
2022/1/21,Ireland,6597,1134548,6087
2022/1/21,Isle of Man,119,20425,70
2022/1/21,Israel,64071,2168009,8371
2022/1/21,Italy,185600,9603856,142963
2022/1/21,Jamaica,773,117717,2568
2022/1/21,Japan,49713,2071471,18476
2022/1/21,Jordan,6309,1129995,13049
2022/1/21,Kazakhstan,15169,1217538,18357
2022/1/21,Kenya,459,319838,5528
2022/1/21,Kiribati,0,2,
2022/1/21,Kosovo,2943,175283,2997
2022/1/21,Kuwait,4809,488959,2483
2022/1/21,Kyrgyzstan,788,193816,2843
2022/1/21,Laos,676,128924,518
2022/1/21,Latvia,5972,324999,4773
2022/1/21,Lebanon,5628,853252,9460
2022/1/21,Lesotho,,31899,690
2022/1/21,Liberia,0,7208,288
2022/1/21,Libya,1700,403144,5907
2022/1/21,Liechtenstein,75,7746,73
2022/1/21,Lithuania,6611,595685,7727
2022/1/21,Low income,2681,1740658,39795
2022/1/21,Lower middle income,495913,71503097,1216866
2022/1/21,Luxembourg,2856,137570,943
2022/1/21,Macao,0,79,
2022/1/21,Madagascar,,55827,1169
2022/1/21,Malawi,162,83565,2507
2022/1/21,Malaysia,4046,2824973,31869
2022/1/21,Maldives,1697,112628,269
2022/1/21,Mali,71,29430,704
2022/1/21,Malta,306,65311,521
2022/1/21,Marshall Islands,0,7,
2022/1/21,Mauritania,280,56946,920
2022/1/21,Mauritius,0,24903,240
2022/1/21,Mexico,100279,4595589,302721
2022/1/21,Micronesia (country),0,1,
2022/1/21,Moldova,3971,404556,10501
2022/1/21,Monaco,144,7304,45
2022/1/21,Mongolia,5938,423495,2093
2022/1/21,Montenegro,1212,210931,2505
2022/1/21,Montserrat,1,152,1
2022/1/21,Morocco,8338,1086340,15082
2022/1/21,Mozambique,543,221975,2149
2022/1/21,Myanmar,83,533815,19308
2022/1/21,Namibia,130,155027,3902
2022/1/21,Nepal,8815,896584,11635
2022/1/21,Netherlands,57561,3787274,21277
2022/1/21,New Caledonia,341,15195,282
2022/1/21,New Zealand,78,15479,52
2022/1/21,Nicaragua,0,17604,219
2022/1/21,Niger,0,8503,295
2022/1/21,Nigeria,359,251930,3124
