date,location,total_cases,total_deaths
2022/1/21,United States,70209840,864556
2022/1/21,India,38903731,488884
2022/1/21,Brazil,23766499,622875
2022/1/21,France,16052999,128413
2022/1/21,United Kingdom,15747291,153616
2022/1/21,Turkey,10808770,85600
2022/1/21,Russia,10804032,318200
2022/1/21,Africa,10522979,235050
2022/1/21,Italy,9603856,142963
2022/1/21,Spain,8975458,91741
2022/1/21,Germany,8635461,116668
2022/1/21,Argentina,7694506,118969
2022/1/21,Iran,6241843,132172
2022/1/21,Colombia,5686065,131824
2022/1/21,Mexico,4595589,302721
2022/1/21,Poland,4443217,103626
2022/1/21,Indonesia,4280248,144201
2022/1/21,Ukraine,4003280,105545
2022/1/21,Netherlands,3787274,21277
2022/1/21,South Africa,3576379,93949
2022/1/21,Philippines,3357083,53309
2022/1/21,Canada,2877590,32217
2022/1/21,Peru,2839519,203994
2022/1/21,Malaysia,2824973,31869
2022/1/21,Czechia,2705754,36997
2022/1/21,Belgium,2697239,28780
2022/1/21,Thailand,2369814,22019
2022/1/21,Oceania,2305985,5385
2022/1/21,Israel,2168009,8371
2022/1/21,Iraq,2144422,24277
2022/1/21,Australia,2129688,3043
2022/1/21,Portugal,2118125,19496
2022/1/21,Vietnam,2110737,36443
2022/1/21,Japan,2071471,18476
2022/1/21,Romania,1983670,59477
2022/1/21,Chile,1934204,39474
2022/1/21,Switzerland,1879319,12579
2022/1/21,Sweden,1784005,15674
2022/1/21,Greece,1762870,22476
2022/1/21,Low income,1740658,39795
2022/1/21,Bangladesh,1664616,28192
2022/1/21,Austria,1530919,13956
2022/1/21,Serbia,1518024,13211
2022/1/21,Slovakia,1447067,17577
2022/1/21,Hungary,1401457,40822
2022/1/21,Pakistan,1360019,29077
2022/1/21,Denmark,1319695,3571
2022/1/21,Kazakhstan,1217538,18357
2022/1/21,Ireland,1134548,6087
2022/1/21,Jordan,1129995,13049
2022/1/21,Morocco,1086340,15082
2022/1/21,Georgia,1030710,14631
2022/1/21,Cuba,1015203,8353
2022/1/21,Nepal,896584,11635
2022/1/21,Bulgaria,870751,32604
2022/1/21,Croatia,859264,13335
2022/1/21,Lebanon,853252,9460
2022/1/21,Tunisia,826838,25912
2022/1/21,United Arab Emirates,819866,2207
2022/1/21,Bolivia,804677,20570
2022/1/21,South Korea,726274,6529
2022/1/21,Belarus,722939,5899
2022/1/21,Guatemala,666017,16245
2022/1/21,Ecuador,658045,34279
